Complain_Code,User_ID,Complain_Category,Complain_Times
N0122,1945,No Complain,0
N0123,7685,No Complain,0
N0124,6310,No Complain,0
N0125,10832,No Complain,0
N0126,3025,No Complain,0
N0127,2404,No Complain,0
N0128,8581,No Complain,0
N0129,8755,No Complain,0
N0130,10177,No Complain,0
N0131,2429,No Complain,0
N0132,8920,No Complain,0
N0133,8430,No Complain,0
N0134,8619,No Complain,0
N0135,8996,No Complain,0
N0136,7233,No Complain,0
N0137,6678,No Complain,0
N0138,830,No Complain,0
N0139,6365,No Complain,0
N0140,6770,No Complain,0
N0141,2261,No Complain,0
N0142,1031,No Complain,0
N0143,10089,No Complain,0
N0144,9256,No Complain,0
N0145,10641,No Complain,0
N0146,624,No Complain,0
N0147,4211,No Complain,0
N0148,1407,No Complain,0
N0149,10356,No Complain,0
N0150,9323,No Complain,0
N0151,1146,No Complain,0
N0152,6343,No Complain,0
N0153,8545,No Complain,0
N0154,8275,No Complain,0
N0155,10673,No Complain,0
N0156,8799,No Complain,0
N0157,67,No Complain,0
N0158,9923,No Complain,0
N0159,2814,No Complain,0
N0160,2711,No Complain,0
N0161,4320,No Complain,0
N0162,10451,No Complain,0
N0163,4198,No Complain,0
N0164,10814,No Complain,0
N0165,944,No Complain,0
N0166,8151,No Complain,0
N0167,6184,No Complain,0
N0168,3498,No Complain,0
N0169,2870,No Complain,0
N0170,7342,No Complain,0
N0171,1911,No Complain,0
N0172,10862,No Complain,0
N0173,2546,No Complain,0
N0174,3005,No Complain,0
N0175,8318,No Complain,0
N0176,2930,No Complain,0
N0177,8216,No Complain,0
N0178,1212,No Complain,0
N0179,2541,No Complain,0
N0180,10659,No Complain,0
N0181,10905,No Complain,0
N0182,8910,No Complain,0
N0183,7349,No Complain,0
N0184,7872,No Complain,0
N0185,4290,No Complain,0
N0186,7408,No Complain,0
N0187,9986,No Complain,0
N0188,8235,No Complain,0
N0189,10949,No Complain,0
N0190,7284,No Complain,0
N0191,9529,No Complain,0
N0192,9930,No Complain,0
N0193,10270,No Complain,0
N0194,760,No Complain,0
N0195,5519,No Complain,0
N0196,232,No Complain,0
N0197,3009,No Complain,0
N0198,6518,No Complain,0
N0199,10669,No Complain,0
N0200,5682,No Complain,0
N0201,1570,No Complain,0
N0202,1497,No Complain,0
N0203,9723,No Complain,0
N0204,7261,No Complain,0
N0205,2452,No Complain,0
N0206,5621,No Complain,0
A0207,10995,Employee Attitude,1
N0208,7373,No Complain,0
N0209,5331,No Complain,0
N0210,263,No Complain,0
N0211,4619,No Complain,0
N0212,940,No Complain,0
N0213,10084,No Complain,0
N0214,6019,No Complain,0
N0215,1463,No Complain,0
N0216,6424,No Complain,0
N0217,8233,No Complain,0
N0218,1515,No Complain,0
N0219,10855,No Complain,0
N0220,10909,No Complain,0
N0221,3376,No Complain,0
N0222,10232,No Complain,0
N0223,5547,No Complain,0
N0224,8362,No Complain,0
N0225,3524,No Complain,0
N0226,10095,No Complain,0
N0227,8897,No Complain,0
N0228,466,No Complain,0
N0229,11025,No Complain,0
N0230,2387,No Complain,0
N0231,1618,No Complain,0
N0232,25,No Complain,0
N0233,3277,No Complain,0
N0234,8566,No Complain,0
N0235,2634,No Complain,0
N0236,8036,No Complain,0
N0237,8159,No Complain,0
N0238,7628,No Complain,0
N0239,9597,No Complain,0
N0240,1384,No Complain,0
N0241,10150,No Complain,0
N0242,3885,No Complain,0
N0243,11003,No Complain,0
N0244,8026,No Complain,0
N0245,577,No Complain,0
N0246,8702,No Complain,0
N0247,5429,No Complain,0
N0248,977,No Complain,0
N0249,2793,No Complain,0
N0250,1071,No Complain,0
N0251,5074,No Complain,0
N0252,2632,No Complain,0
N0253,6404,No Complain,0
N0254,10240,No Complain,0
N0255,2521,No Complain,0
N0256,4301,No Complain,0
N0257,7381,No Complain,0
N0258,2407,No Complain,0
N0259,9064,No Complain,0
N0260,5067,No Complain,0
N0261,10281,No Complain,0
N0262,11191,No Complain,0
N0263,1994,No Complain,0
N0264,2552,No Complain,0
N0265,6720,No Complain,0
N0266,4557,No Complain,0
N0267,1183,No Complain,0
N0268,4186,No Complain,0
N0269,1419,No Complain,0
N0270,967,No Complain,0
N0271,1048,No Complain,0
N0272,9262,No Complain,0
N0273,3427,No Complain,0
N0274,5892,No Complain,0
N0275,8911,No Complain,0
N0276,6606,No Complain,0
N0277,2677,No Complain,0
N0278,252,No Complain,0
N0279,9860,No Complain,0
N0280,1388,No Complain,0
N0281,979,No Complain,0
N0282,7494,No Complain,0
N0283,10490,No Complain,0
N0284,3403,No Complain,0
N0285,2715,No Complain,0
N0286,4828,No Complain,0
N0287,92,No Complain,0
N0288,3312,No Complain,0
N0289,11176,No Complain,0
N0290,1446,No Complain,0
N0291,9699,No Complain,0
N0292,9790,No Complain,0
N0293,2324,No Complain,0
N0294,5080,No Complain,0
N0295,4992,No Complain,0
N0296,7849,No Complain,0
N0297,4808,No Complain,0
A0298,10401,Employee Attitude,1
N0299,7793,No Complain,0
N0300,9303,No Complain,0
N0301,6853,No Complain,0
N0302,7366,No Complain,0
N0303,9780,No Complain,0
N0304,7573,No Complain,0
N0305,1379,No Complain,0
N0306,8923,No Complain,0
N0307,3547,No Complain,0
N0308,8707,No Complain,0
N0309,1891,No Complain,0
N0310,6271,No Complain,0
N0311,9635,No Complain,0
N0312,9727,No Complain,0
N0313,6205,No Complain,0
N0314,10681,No Complain,0
N0315,5156,No Complain,0
N0316,3050,No Complain,0
N0317,8164,No Complain,0
N0318,5626,No Complain,0
N0319,7600,No Complain,0
N0320,6406,No Complain,0
N0321,7002,No Complain,0
N0322,8234,No Complain,0
N0323,6116,No Complain,0
N0324,291,No Complain,0
N0325,8779,No Complain,0
N0326,4931,No Complain,0
N0327,1650,No Complain,0
N0328,9701,No Complain,0
N0329,6431,No Complain,0
N0330,10789,No Complain,0
N0331,5302,No Complain,0
N0332,4459,No Complain,0
N0333,10642,No Complain,0
N0334,9213,No Complain,0
N0335,3678,No Complain,0
N0336,3698,No Complain,0
N0337,5929,No Complain,0
N0338,10795,No Complain,0
N0339,4390,No Complain,0
N0340,9362,No Complain,0
N0341,1577,No Complain,0
N0342,4609,No Complain,0
N0343,7143,No Complain,0
N0344,1729,No Complain,0
N0345,10664,No Complain,0
N0346,5029,No Complain,0
N0347,10507,No Complain,0
N0348,3865,No Complain,0
N0349,6982,No Complain,0
N0350,7042,No Complain,0
N0351,9668,No Complain,0
N0352,6878,No Complain,0
N0353,4099,No Complain,0
N0354,5031,No Complain,0
N0355,1970,No Complain,0
A0356,5726,Employee Attitude,1
N0357,5231,No Complain,0
N0358,1307,No Complain,0
N0359,10609,No Complain,0
N0360,5782,No Complain,0
N0361,7533,No Complain,0
N0362,9493,No Complain,0
N0363,2253,No Complain,0
N0364,2326,No Complain,0
N0365,1876,No Complain,0
N0366,7141,No Complain,0
N0367,7393,No Complain,0
N0368,4713,No Complain,0
N0369,5093,No Complain,0
N0370,8524,No Complain,0
N0371,3766,No Complain,0
N0372,9725,No Complain,0
N0373,8933,No Complain,0
N0374,10779,No Complain,0
N0375,9289,No Complain,0
N0376,2613,No Complain,0
N0377,10133,No Complain,0
N0378,8443,No Complain,0
N0379,10796,No Complain,0
N0380,10241,No Complain,0
N0381,3388,No Complain,0
N0382,6507,No Complain,0
N0383,7446,No Complain,0
N0384,87,No Complain,0
N0385,10477,No Complain,0
N0386,6072,No Complain,0
N0387,2518,No Complain,0
N0388,247,No Complain,0
N0389,9463,No Complain,0
N0390,1459,No Complain,0
N0391,9530,No Complain,0
N0392,9653,No Complain,0
N0393,10785,No Complain,0
N0394,9392,No Complain,0
N0395,3769,No Complain,0
N0396,10146,No Complain,0
N0397,4741,No Complain,0
N0398,1880,No Complain,0
N0399,6471,No Complain,0
N0400,5718,No Complain,0
N0401,3478,No Complain,0
N0402,7848,No Complain,0
N0403,7999,No Complain,0
N0404,11101,No Complain,0
N0405,9212,No Complain,0
N0406,10983,No Complain,0
N0407,3629,No Complain,0
N0408,4673,No Complain,0
N0409,796,No Complain,0
N0410,618,No Complain,0
N0411,380,No Complain,0
N0412,1092,No Complain,0
N0413,8962,No Complain,0
N0414,8207,No Complain,0
N0415,6521,No Complain,0
N0416,535,No Complain,0
N0417,4608,No Complain,0
N0418,11086,No Complain,0
N0419,1064,No Complain,0
N0420,7000,No Complain,0
N0421,1581,No Complain,0
N0422,7384,No Complain,0
N0423,10552,No Complain,0
N0424,6409,No Complain,0
N0425,9507,No Complain,0
N0426,9560,No Complain,0
N0427,10991,No Complain,0
N0428,4712,No Complain,0
N0429,11056,No Complain,0
N0430,7414,No Complain,0
N0431,3076,No Complain,0
N0432,6355,No Complain,0
N0433,7959,No Complain,0
N0434,5512,No Complain,0
N0435,10102,No Complain,0
N0436,9369,No Complain,0
N0437,3711,No Complain,0
N0438,6931,No Complain,0
N0439,9596,No Complain,0
N0440,2727,No Complain,0
N0441,8416,No Complain,0
N0442,3967,No Complain,0
N0443,2139,No Complain,0
N0444,2162,No Complain,0
N0445,9242,No Complain,0
N0446,10595,No Complain,0
N0447,4855,No Complain,0
N0448,5049,No Complain,0
N0449,4967,No Complain,0
N0450,5255,No Complain,0
N0451,9215,No Complain,0
N0452,3525,No Complain,0
N0453,3619,No Complain,0
N0454,4415,No Complain,0
N0455,3645,No Complain,0
N0456,4692,No Complain,0
N0457,3955,No Complain,0
N0458,5313,No Complain,0
N0459,7196,No Complain,0
N0460,1381,No Complain,0
N0461,10951,No Complain,0
N0462,4322,No Complain,0
N0463,7444,No Complain,0
N0464,2942,No Complain,0
N0465,2874,No Complain,0
N0466,3667,No Complain,0
N0467,3697,No Complain,0
N0468,9955,No Complain,0
N0469,5320,No Complain,0
N0470,6422,No Complain,0
N0471,3690,No Complain,0
N0472,2408,No Complain,0
N0473,9260,No Complain,0
N0474,9648,No Complain,0
N0475,4939,No Complain,0
N0476,8652,No Complain,0
N0477,4702,No Complain,0
N0478,2587,No Complain,0
N0479,2811,No Complain,0
N0480,9150,No Complain,0
N0481,10127,No Complain,0
N0482,5493,No Complain,0
N0483,2666,No Complain,0
N0484,10099,No Complain,0
N0485,10562,No Complain,0
N0486,7881,No Complain,0
N0487,6721,No Complain,0
N0488,5204,No Complain,0
N0489,5209,No Complain,0
N0490,10128,No Complain,0
N0491,9284,No Complain,0
N0492,8643,No Complain,0
N0493,1685,No Complain,0
N0494,2877,No Complain,0
N0495,8369,No Complain,0
N0496,6233,No Complain,0
N0497,195,No Complain,0
N0498,1501,No Complain,0
N0499,10846,No Complain,0
N0500,8341,No Complain,0
N0501,10766,No Complain,0
N0502,9971,No Complain,0
N0503,1740,No Complain,0
N0504,8737,No Complain,0
N0505,6466,No Complain,0
N0506,10430,No Complain,0
N0507,8773,No Complain,0
N0508,2371,No Complain,0
N0509,7786,No Complain,0
N0510,4088,No Complain,0
N0511,4971,No Complain,0
N0512,10560,No Complain,0
N0513,6892,No Complain,0
N0514,11004,No Complain,0
N0515,1818,No Complain,0
N0516,9485,No Complain,0
N0517,6646,No Complain,0
N0518,4248,No Complain,0
N0519,7451,No Complain,0
N0520,7861,No Complain,0
N0521,5232,No Complain,0
N0522,3011,No Complain,0
N0523,5758,No Complain,0
N0524,2173,No Complain,0
N0525,10711,No Complain,0
N0526,8268,No Complain,0
N0527,2782,No Complain,0
N0528,9432,No Complain,0
N0529,5872,No Complain,0
N0530,11187,No Complain,0
N0531,2428,No Complain,0
N0532,1726,No Complain,0
N0533,1802,No Complain,0
N0534,1162,No Complain,0
N0535,10643,No Complain,0
N0536,11112,No Complain,0
N0537,2114,No Complain,0
N0538,4261,No Complain,0
N0539,2457,No Complain,0
N0540,2495,No Complain,0
N0541,6983,No Complain,0
N0542,3436,No Complain,0
N0543,7505,No Complain,0
N0544,4286,No Complain,0
N0545,7224,No Complain,0
N0546,6215,No Complain,0
N0547,968,No Complain,0
N0548,4096,No Complain,0
N0549,3153,No Complain,0
N0550,6504,No Complain,0
N0551,5329,No Complain,0
N0552,1175,No Complain,0
N0553,1377,No Complain,0
N0554,4607,No Complain,0
N0555,4944,No Complain,0
S0556,9483,Shipping Issue,1
N0557,1378,No Complain,0
N0558,5991,No Complain,0
N0559,2807,No Complain,0
N0560,1052,No Complain,0
N0561,9760,No Complain,0
N0562,7101,No Complain,0
N0563,9909,No Complain,0
N0564,5907,No Complain,0
N0565,793,No Complain,0
N0566,8832,No Complain,0
N0567,2535,No Complain,0
N0568,1523,No Complain,0
N0569,1839,No Complain,0
N0570,9972,No Complain,0
N0571,2945,No Complain,0
N0572,9291,No Complain,0
N0573,2829,No Complain,0
N0574,8594,No Complain,0
N0575,1592,No Complain,0
N0576,4310,No Complain,0
N0577,6950,No Complain,0
N0578,8492,No Complain,0
N0579,5684,No Complain,0
N0580,5909,No Complain,0
N0581,9855,No Complain,0
N0582,975,No Complain,0
N0583,8754,No Complain,0
N0584,1456,No Complain,0
N0585,2849,No Complain,0
N0586,9984,No Complain,0
N0587,5527,No Complain,0
N0588,5628,No Complain,0
N0589,7627,No Complain,0
N0590,1351,No Complain,0
N0591,10629,No Complain,0
N0592,10395,No Complain,0
N0593,6961,No Complain,0
N0594,10196,No Complain,0
N0595,6182,No Complain,0
N0596,10432,No Complain,0
N0597,1542,No Complain,0
N0598,4220,No Complain,0
N0599,4141,No Complain,0
N0600,1940,No Complain,0
N0601,1506,No Complain,0
N0602,6347,No Complain,0
N0603,1361,No Complain,0
N0604,9422,No Complain,0
N0605,1081,No Complain,0
N0606,7458,No Complain,0
N0607,1012,No Complain,0
N0608,5453,No Complain,0
N0609,6818,No Complain,0
N0610,7807,No Complain,0
N0611,7532,No Complain,0
N0612,8346,No Complain,0
N0613,5564,No Complain,0
N0614,3267,No Complain,0
N0615,3091,No Complain,0
N0616,762,No Complain,0
N0617,8029,No Complain,0
N0618,4376,No Complain,0
N0619,10981,No Complain,0
N0620,486,No Complain,0
N0621,1158,No Complain,0
N0622,9119,No Complain,0
N0623,6694,No Complain,0
N0624,10573,No Complain,0
N0625,10140,No Complain,0
N0626,2286,No Complain,0
N0627,8420,No Complain,0
N0628,10065,No Complain,0
N0629,1029,No Complain,0
N0630,4207,No Complain,0
N0631,10277,No Complain,0
N0632,4436,No Complain,0
N0633,2929,No Complain,0
N0634,6281,No Complain,0
N0635,10390,No Complain,0
N0636,2574,No Complain,0
N0637,709,No Complain,0
N0638,5955,No Complain,0
N0639,8486,No Complain,0
N0640,10343,No Complain,0
N0641,6652,No Complain,0
N0642,8746,No Complain,0
N0643,4686,No Complain,0
N0644,3551,No Complain,0
N0645,4338,No Complain,0
N0646,4444,No Complain,0
N0647,498,No Complain,0
N0648,8230,No Complain,0
N0649,2826,No Complain,0
N0650,6222,No Complain,0
N0651,7352,No Complain,0
N0652,10928,No Complain,0
N0653,10736,No Complain,0
N0654,10163,No Complain,0
N0655,6168,No Complain,0
N0656,4656,No Complain,0
N0657,626,No Complain,0
N0658,3870,No Complain,0
N0659,6299,No Complain,0
N0660,7798,No Complain,0
N0661,9973,No Complain,0
N0662,4299,No Complain,0
S0663,10971,Shipping Issue,1
N0664,9931,No Complain,0
N0665,6679,No Complain,0
N0666,5961,No Complain,0
N0667,6255,No Complain,0
N0668,8614,No Complain,0
N0669,7828,No Complain,0
N0670,1277,No Complain,0
N0671,3595,No Complain,0
N0672,5735,No Complain,0
N0673,5350,No Complain,0
N0674,4137,No Complain,0
N0675,6357,No Complain,0
N0676,9316,No Complain,0
N0677,3578,No Complain,0
N0678,153,No Complain,0
N0679,10524,No Complain,0
N0680,1518,No Complain,0
N0681,2036,No Complain,0
N0682,9495,No Complain,0
N0683,2631,No Complain,0
N0684,6312,No Complain,0
N0685,615,No Complain,0
N0686,4406,No Complain,0
N0687,10061,No Complain,0
N0688,10619,No Complain,0
N0689,4945,No Complain,0
N0690,1777,No Complain,0
N0691,4023,No Complain,0
N0692,7922,No Complain,0
N0693,10699,No Complain,0
N0694,7516,No Complain,0
N0695,3129,No Complain,0
N0696,5121,No Complain,0
N0697,2186,No Complain,0
N0698,10548,No Complain,0
N0699,6384,No Complain,0
N0700,2625,No Complain,0
N0701,1676,No Complain,0
N0702,5534,No Complain,0
N0703,6859,No Complain,0
N0704,271,No Complain,0
N0705,7699,No Complain,0
N0706,7832,No Complain,0
N0707,938,No Complain,0
N0708,7873,No Complain,0
N0709,9967,No Complain,0
N0710,1087,No Complain,0
N0711,8314,No Complain,0
N0712,3762,No Complain,0
N0713,10383,No Complain,0
N0714,6798,No Complain,0
N0715,4168,No Complain,0
N0716,6690,No Complain,0
N0717,10602,No Complain,0
N0718,3220,No Complain,0
N0719,5424,No Complain,0
N0720,7488,No Complain,0
N0721,5289,No Complain,0
N0722,347,No Complain,0
N0723,5236,No Complain,0
N0724,9478,No Complain,0
N0725,477,No Complain,0
N0726,7411,No Complain,0
N0727,3107,No Complain,0
N0728,7437,No Complain,0
S0729,255,Shipping Issue,1
N0730,3790,No Complain,0
N0731,749,No Complain,0
N0732,1503,No Complain,0
N0733,8650,No Complain,0
N0734,607,No Complain,0
N0735,1008,No Complain,0
N0736,9396,No Complain,0
N0737,933,No Complain,0
N0738,5710,No Complain,0
N0739,2882,No Complain,0
N0740,2379,No Complain,0
N0741,5342,No Complain,0
N0742,3262,No Complain,0
N0743,5832,No Complain,0
N0744,5025,No Complain,0
N0745,569,No Complain,0
N0746,3102,No Complain,0
N0747,9449,No Complain,0
N0748,8104,No Complain,0
N0749,75,No Complain,0
N0750,6421,No Complain,0
N0751,3037,No Complain,0
N0752,4698,No Complain,0
N0753,948,No Complain,0
N0754,6177,No Complain,0
N0755,3517,No Complain,0
N0756,3491,No Complain,0
N0757,7610,No Complain,0
N0758,4377,No Complain,0
N0759,9850,No Complain,0
N0760,5544,No Complain,0
N0761,6497,No Complain,0
N0762,4543,No Complain,0
N0763,5117,No Complain,0
N0764,1448,No Complain,0
N0765,6887,No Complain,0
N0766,7500,No Complain,0
N0767,2724,No Complain,0
N0768,2256,No Complain,0
N0769,1100,No Complain,0
N0770,7725,No Complain,0
N0771,2612,No Complain,0
N0772,113,No Complain,0
N0773,2868,No Complain,0
N0774,4216,No Complain,0
N0775,199,No Complain,0
S0776,359,Shipping Issue,1
N0777,8842,No Complain,0
N0778,2154,No Complain,0
N0779,6050,No Complain,0
N0780,9204,No Complain,0
N0781,4472,No Complain,0
N0782,6864,No Complain,0
N0783,10617,No Complain,0
N0784,3924,No Complain,0
N0785,5654,No Complain,0
N0786,9216,No Complain,0
N0787,8086,No Complain,0
N0788,9097,No Complain,0
N0789,7631,No Complain,0
N0790,7275,No Complain,0
N0791,8334,No Complain,0
N0792,1987,No Complain,0
N0793,2281,No Complain,0
N0794,7034,No Complain,0
N0795,2797,No Complain,0
N0796,3934,No Complain,0
N0797,2493,No Complain,0
N0798,3759,No Complain,0
N0799,965,No Complain,0
N0800,7378,No Complain,0
N0801,1859,No Complain,0
N0802,6263,No Complain,0
N0803,2072,No Complain,0
N0804,8908,No Complain,0
N0805,738,No Complain,0
N0806,10129,No Complain,0
N0807,807,No Complain,0
N0808,3334,No Complain,0
N0809,5423,No Complain,0
N0810,4426,No Complain,0
N0811,10489,No Complain,0
N0812,2570,No Complain,0
N0813,3834,No Complain,0
N0814,590,No Complain,0
N0815,4791,No Complain,0
N0816,5304,No Complain,0
N0817,2426,No Complain,0
N0818,35,No Complain,0
N0819,8041,No Complain,0
N0820,3584,No Complain,0
N0821,7718,No Complain,0
N0822,8605,No Complain,0
N0823,1646,No Complain,0
N0824,9206,No Complain,0
N0825,10757,No Complain,0
N0826,6885,No Complain,0
N0827,907,No Complain,0
N0828,1150,No Complain,0
N0829,3867,No Complain,0
N0830,3859,No Complain,0
N0831,3265,No Complain,0
N0832,4418,No Complain,0
N0833,4611,No Complain,0
N0834,4530,No Complain,0
N0835,7736,No Complain,0
N0836,9949,No Complain,0
N0837,942,No Complain,0
N0838,6181,No Complain,0
N0839,7660,No Complain,0
N0840,2055,No Complain,0
N0841,5107,No Complain,0
N0842,1626,No Complain,0
N0843,6428,No Complain,0
N0844,9617,No Complain,0
N0845,4339,No Complain,0
N0846,7235,No Complain,0
N0847,8527,No Complain,0
N0848,1968,No Complain,0
N0849,9862,No Complain,0
N0850,11075,No Complain,0
N0851,6658,No Complain,0
N0852,4552,No Complain,0
N0853,10377,No Complain,0
N0854,5336,No Complain,0
N0855,10350,No Complain,0
N0856,11071,No Complain,0
N0857,11100,No Complain,0
N0858,6516,No Complain,0
N0859,1734,No Complain,0
N0860,2131,No Complain,0
N0861,6439,No Complain,0
N0862,10591,No Complain,0
N0863,9797,No Complain,0
N0864,9336,No Complain,0
N0865,2174,No Complain,0
N0866,3197,No Complain,0
N0867,9185,No Complain,0
N0868,905,No Complain,0
N0869,10858,No Complain,0
N0870,8925,No Complain,0
N0871,2499,No Complain,0
N0872,1109,No Complain,0
N0873,326,No Complain,0
N0874,10967,No Complain,0
N0875,5370,No Complain,0
N0876,2098,No Complain,0
N0877,1773,No Complain,0
N0878,5036,No Complain,0
N0879,4856,No Complain,0
N0880,8722,No Complain,0
N0881,2156,No Complain,0
N0882,2569,No Complain,0
N0883,10151,No Complain,0
N0884,10473,No Complain,0
N0885,7079,No Complain,0
N0886,6875,No Complain,0
N0887,6728,No Complain,0
N0888,2471,No Complain,0
N0889,49,No Complain,0
N0890,4973,No Complain,0
N0891,6387,No Complain,0
N0892,5866,No Complain,0
N0893,8523,No Complain,0
N0894,7901,No Complain,0
N0895,898,No Complain,0
N0896,10242,No Complain,0
N0897,5835,No Complain,0
N0898,6919,No Complain,0
N0899,6197,No Complain,0
N0900,10475,No Complain,0
N0901,4201,No Complain,0
N0902,5092,No Complain,0
N0903,6566,No Complain,0
N0904,6613,No Complain,0
N0905,9094,No Complain,0
N0906,9847,No Complain,0
N0907,10767,No Complain,0
N0908,7943,No Complain,0
N0909,1055,No Complain,0
N0910,1458,No Complain,0
N0911,8402,No Complain,0
N0912,6246,No Complain,0
N0913,4654,No Complain,0
N0914,6103,No Complain,0
N0915,8147,No Complain,0
N0916,10207,No Complain,0
N0917,4838,No Complain,0
N0918,10219,No Complain,0
N0919,2176,No Complain,0
N0920,9121,No Complain,0
N0921,5802,No Complain,0
N0922,10790,No Complain,0
N0923,178,No Complain,0
N0924,2308,No Complain,0
N0925,7431,No Complain,0
N0926,9405,No Complain,0
N0927,10525,No Complain,0
N0928,7503,No Complain,0
N0929,8783,No Complain,0
N0930,1403,No Complain,0
N0931,4643,No Complain,0
N0932,3463,No Complain,0
N0933,4055,No Complain,0
N0934,7010,No Complain,0
N0935,4767,No Complain,0
N0936,1927,No Complain,0
N0937,437,No Complain,0
N0938,4331,No Complain,0
N0939,4084,No Complain,0
N0940,8135,No Complain,0
N0941,9750,No Complain,0
N0942,6682,No Complain,0
N0943,10581,No Complain,0
S0944,3710,Shipping Issue,1
N0945,5207,No Complain,0
N0946,9360,No Complain,0
N0947,4679,No Complain,0
N0948,1340,No Complain,0
N0949,10839,No Complain,0
N0950,5303,No Complain,0
N0951,9829,No Complain,0
N0952,10469,No Complain,0
N0953,3602,No Complain,0
N0954,4756,No Complain,0
N0955,8181,No Complain,0
N0956,6958,No Complain,0
N0957,10856,No Complain,0
N0958,3321,No Complain,0
N0959,5394,No Complain,0
N0960,433,No Complain,0
N0961,6320,No Complain,0
N0962,5376,No Complain,0
N0963,1867,No Complain,0
N0964,4324,No Complain,0
N0965,3661,No Complain,0
N0966,521,No Complain,0
N0967,10403,No Complain,0
N0968,7186,No Complain,0
N0969,4329,No Complain,0
N0970,4394,No Complain,0
N0971,1717,No Complain,0
N0972,1016,No Complain,0
N0973,3783,No Complain,0
N0974,5848,No Complain,0
N0975,10727,No Complain,0
N0976,5299,No Complain,0
N0977,6872,No Complain,0
N0978,1143,No Complain,0
N0979,10381,No Complain,0
N0980,11007,No Complain,0
N0981,9145,No Complain,0
N0982,5267,No Complain,0
N0983,9738,No Complain,0
N0984,10212,No Complain,0
N0985,10010,No Complain,0
N0986,10069,No Complain,0
N0987,2694,No Complain,0
N0988,10613,No Complain,0
N0989,4646,No Complain,0
N0990,6935,No Complain,0
N0991,5596,No Complain,0
N0992,1044,No Complain,0
N0993,9274,No Complain,0
N0994,9076,No Complain,0
N0995,4947,No Complain,0
N0996,10176,No Complain,0
N0997,3507,No Complain,0
N0998,9235,No Complain,0
N0999,10341,No Complain,0
