Consumption_ID,User_ID,Purchase_ID,MntWines,MntFruits,MntMeats,MntFishs,MntSweets,MntGolds
2233,760,1943,588.0,7.0,76.0,110.0,15.0,15.0
2136,5519,395,316.0,58.0,161.0,76.0,51.0,135.0
1735,232,792,279.0,83.0,88.0,32.0,14.0,34.0
2194,3009,715,1462.0,16.0,128.0,0.0,0.0,160.0
867,6518,1536,546.0,0.0,48.0,0.0,6.0,6.0
1952,10669,147,277.0,21.0,64.0,62.0,21.0,25.0
1247,5682,1316,948.0,10.0,86.0,13.0,21.0,21.0
1251,1570,2186,664.0,9.0,240.0,50.0,19.0,57.0
317,1497,2059,268.0,11.0,88.0,15.0,3.0,22.0
1744,9723,2178,530.0,142.0,217.0,62.0,9.0,56.0
2175,7261,615,199.0,33.0,60.0,8.0,3.0,15.0
2103,2452,1008,199.0,33.0,60.0,8.0,3.0,15.0
1820,5621,702,73.0,57.0,100.0,71.0,15.0,0.0
1682,10995,814,16.0,5.0,30.0,8.0,7.0,26.0
1035,7373,7,96.0,12.0,96.0,33.0,22.0,43.0
2236,5331,1448,587.0,51.0,898.0,247.0,0.0,86.0
1956,263,1470,56.0,19.0,29.0,2.0,14.0,25.0
832,4619,1939,6.0,2.0,3.0,1.0,262.0,3.0
619,940,709,158.0,11.0,99.0,15.0,11.0,17.0
1556,10084,2221,3.0,2.0,8.0,20.0,0.0,17.0
1453,6019,1193,45.0,3.0,9.0,4.0,4.0,7.0
101,1463,263,8.0,2.0,5.0,3.0,0.0,3.0
285,6424,1604,12.0,6.0,2.0,11.0,2.0,16.0
1612,8233,574,508.0,5.0,21.0,7.0,5.0,10.0
1773,1515,1594,11.0,2.0,7.0,4.0,2.0,2.0
888,10855,382,234.0,14.0,77.0,19.0,10.0,42.0
690,10909,1425,992.0,24.0,694.0,51.0,19.0,119.0
1857,3376,1821,125.0,6.0,73.0,8.0,4.0,19.0
2008,10232,453,174.0,18.0,81.0,28.0,6.0,24.0
2074,5547,565,1478.0,19.0,403.0,0.0,19.0,0.0
380,8362,136,1478.0,19.0,403.0,0.0,19.0,0.0
899,3524,701,80.0,1.0,60.0,4.0,6.0,16.0
961,10095,335,1001.0,12.0,240.0,16.0,12.0,12.0
1848,8897,1704,392.0,5.0,91.0,28.0,26.0,112.0
116,466,1183,388.0,14.0,218.0,91.0,14.0,21.0
2190,11025,478,65.0,0.0,46.0,4.0,3.0,20.0
1519,2387,244,177.0,2.0,71.0,3.0,2.0,20.0
2063,1618,1481,577.0,0.0,64.0,0.0,0.0,51.0
897,25,1037,460.0,35.0,422.0,33.0,12.0,153.0
2086,3277,822,219.0,3.0,100.0,26.0,0.0,17.0
963,8566,267,5.0,0.0,3.0,0.0,0.0,1.0
1373,2634,12,5.0,7.0,31.0,15.0,4.0,7.0
359,8036,1047,31.0,1.0,13.0,7.0,2.0,9.0
1153,8159,628,117.0,0.0,22.0,13.0,0.0,30.0
41,7628,1628,30.0,5.0,24.0,6.0,3.0,8.0
17,9597,1283,236.0,106.0,189.0,23.0,41.0,130.0
1881,1384,758,6.0,4.0,14.0,8.0,8.0,22.0
1456,10150,2128,464.0,28.0,873.0,29.0,18.0,37.0
360,3885,1303,16.0,2.0,18.0,3.0,0.0,24.0
1188,11003,893,2.0,5.0,7.0,0.0,18.0,18.0
1719,8026,1765,120.0,58.0,73.0,65.0,89.0,58.0
307,577,899,9.0,1.0,7.0,0.0,3.0,2.0
1163,8702,1460,9.0,1.0,7.0,0.0,3.0,2.0
1596,5429,281,145.0,1.0,33.0,2.0,1.0,1.0
34,977,1750,200.0,19.0,111.0,50.0,15.0,19.0
1826,2793,122,532.0,88.0,168.0,69.0,44.0,133.0
403,1071,37,532.0,88.0,168.0,69.0,44.0,133.0
1415,5074,371,30.0,0.0,10.0,2.0,0.0,5.0
1882,2632,353,297.0,0.0,38.0,13.0,0.0,152.0
483,6404,1197,151.0,7.0,89.0,0.0,7.0,28.0
583,10240,1745,997.0,26.0,269.0,34.0,13.0,42.0
1613,2521,1986,23.0,1.0,13.0,2.0,2.0,18.0
60,4301,502,23.0,1.0,13.0,2.0,2.0,18.0
671,7381,1570,797.0,153.0,293.0,72.0,97.0,30.0
721,2407,1159,823.0,25.0,459.0,124.0,29.0,95.0
364,9064,2218,823.0,25.0,459.0,124.0,29.0,95.0
1345,5067,1892,966.0,26.0,282.0,52.0,26.0,26.0
1721,10281,1096,180.0,60.0,241.0,13.0,54.0,54.0
1336,11191,57,37.0,32.0,38.0,11.0,3.0,18.0
252,1994,2184,5.0,5.0,6.0,0.0,2.0,1.0
426,2552,1032,416.0,0.0,26.0,0.0,0.0,4.0
1338,6720,1210,314.0,11.0,53.0,4.0,3.0,107.0
1446,4557,2156,10.0,7.0,19.0,8.0,2.0,21.0
239,1183,1070,9.0,1.0,4.0,3.0,2.0,3.0
1891,4186,1782,18.0,6.0,15.0,12.0,8.0,17.0
1490,1419,318,18.0,6.0,15.0,12.0,8.0,17.0
1958,967,2139,342.0,9.0,112.0,19.0,14.0,19.0
839,1048,1803,63.0,3.0,67.0,8.0,9.0,28.0
1113,9262,391,20.0,6.0,5.0,0.0,9.0,12.0
762,3427,2161,629.0,0.0,70.0,0.0,0.0,35.0
1158,5892,212,158.0,6.0,45.0,8.0,2.0,2.0
1614,8911,92,201.0,53.0,172.0,116.0,77.0,83.0
142,6606,1887,964.0,34.0,137.0,15.0,0.0,11.0
917,2677,1212,72.0,24.0,68.0,65.0,4.0,8.0
1795,252,1165,123.0,133.0,142.0,71.0,44.0,88.0
548,9860,1454,159.0,0.0,22.0,2.0,1.0,31.0
2200,1388,1488,6.0,10.0,21.0,19.0,14.0,42.0
236,979,1624,6.0,10.0,21.0,19.0,14.0,42.0
1015,7494,239,209.0,0.0,40.0,3.0,2.0,15.0
802,10490,1247,100.0,64.0,79.0,65.0,0.0,109.0
1182,3403,949,1170.0,19.0,594.0,99.0,76.0,134.0
208,2715,767,70.0,3.0,37.0,4.0,2.0,64.0
59,4828,1093,71.0,99.0,278.0,185.0,121.0,38.0
2104,92,70,5.0,7.0,24.0,19.0,14.0,20.0
334,3312,135,5.0,7.0,24.0,19.0,14.0,20.0
2131,11176,2145,376.0,9.0,83.0,19.0,4.0,4.0
476,1446,1706,387.0,68.0,569.0,89.0,45.0,68.0
319,9699,1635,357.0,35.0,271.0,28.0,28.0,14.0
1992,9790,933,912.0,72.0,170.0,47.0,36.0,97.0
179,2324,1573,625.0,38.0,242.0,50.0,34.0,76.0
1562,5080,19,420.0,0.0,452.0,182.0,64.0,140.0
1973,4992,515,6.0,4.0,16.0,3.0,10.0,30.0
1211,7849,2063,209.0,19.0,456.0,160.0,142.0,66.0
1513,4808,370,1.0,2.0,5.0,6.0,0.0,3.0
1056,10401,548,1.0,0.0,5.0,0.0,3.0,9.0
240,7793,1556,641.0,7.0,84.0,0.0,30.0,38.0
2094,9303,2151,12.0,4.0,7.0,1.0,3.0,5.0
270,6853,2160,712.0,26.0,538.0,69.0,13.0,80.0
516,7366,1270,712.0,26.0,538.0,69.0,13.0,80.0
1982,9780,1823,465.0,25.0,132.0,136.0,0.0,37.0
797,7573,1069,39.0,1.0,9.0,2.0,1.0,34.0
1616,1379,2051,154.0,2.0,46.0,20.0,4.0,15.0
1890,8923,1453,514.0,22.0,732.0,42.0,198.0,79.0
833,3547,2017,14.0,7.0,9.0,6.0,16.0,12.0
203,8707,1607,565.0,42.0,548.0,64.0,83.0,99.0
1238,1891,1346,667.0,50.0,850.0,21.0,83.0,83.0
62,6271,1874,53.0,0.0,8.0,0.0,0.0,2.0
1511,9635,2012,66.0,2.0,40.0,4.0,3.0,14.0
85,9727,54,4.0,24.0,11.0,16.0,1.0,25.0
1532,6205,1701,34.0,3.0,29.0,0.0,4.0,10.0
217,10681,1641,129.0,129.0,259.0,168.0,121.0,83.0
1393,5156,654,129.0,129.0,259.0,168.0,121.0,83.0
1259,3050,824,185.0,0.0,28.0,3.0,2.0,17.0
1606,8164,1549,1023.0,93.0,651.0,49.0,55.0,37.0
1359,5626,655,338.0,4.0,89.0,11.0,8.0,13.0
1839,7600,1251,1.0,3.0,3.0,8.0,1.0,13.0
1683,6406,662,647.0,107.0,391.0,175.0,67.0,40.0
1940,7002,865,163.0,48.0,90.0,0.0,45.0,52.0
1455,8234,772,1.0,6.0,7.0,0.0,1.0,3.0
1253,6116,1009,19.0,13.0,18.0,10.0,7.0,8.0
1294,291,1232,182.0,74.0,298.0,162.0,149.0,116.0
189,8779,2159,56.0,4.0,76.0,17.0,1.0,18.0
2033,4931,1828,1.0,0.0,1725.0,2.0,1.0,1.0
1898,1650,48,779.0,86.0,537.0,34.0,69.0,138.0
812,9701,2101,32.0,34.0,41.0,73.0,16.0,116.0
1910,6431,491,42.0,1.0,18.0,3.0,0.0,4.0
757,10789,618,42.0,1.0,18.0,3.0,0.0,4.0
755,5302,257,298.0,27.0,697.0,216.0,24.0,166.0
668,4459,1964,10.0,4.0,14.0,4.0,4.0,1.0
1378,10642,411,10.0,4.0,14.0,4.0,4.0,1.0
739,9213,245,4.0,1.0,5.0,2.0,0.0,3.0
1423,3678,1492,488.0,23.0,71.0,15.0,0.0,59.0
1981,3698,1384,817.0,185.0,687.0,145.0,55.0,241.0
480,5929,669,19.0,3.0,19.0,3.0,1.0,3.0
211,10795,1135,19.0,3.0,19.0,3.0,1.0,3.0
2088,4390,1089,459.0,15.0,171.0,142.0,23.0,31.0
1208,9362,839,492.0,5.0,32.0,13.0,5.0,21.0
102,1577,1842,558.0,79.0,622.0,207.0,175.0,95.0
9,4609,90,383.0,0.0,53.0,6.0,4.0,40.0
246,7143,285,209.0,162.0,209.0,41.0,162.0,37.0
53,1729,889,1043.0,24.0,97.0,32.0,24.0,157.0
1714,10664,1219,400.0,4.0,35.0,6.0,0.0,22.0
1079,5029,235,3.0,1.0,2.0,4.0,3.0,1.0
1505,10507,260,691.0,7.0,69.0,0.0,7.0,23.0
1770,3865,2085,2.0,12.0,10.0,6.0,13.0,30.0
2125,6982,56,783.0,30.0,537.0,140.0,76.0,15.0
66,7042,1562,3.0,3.0,14.0,15.0,21.0,10.0
1324,9668,879,4.0,16.0,20.0,0.0,17.0,20.0
876,6878,991,43.0,12.0,96.0,78.0,40.0,55.0
989,4099,1804,10.0,2.0,16.0,11.0,2.0,21.0
1533,5031,555,777.0,35.0,731.0,39.0,137.0,114.0
335,1970,1471,63.0,0.0,21.0,7.0,0.0,12.0
1809,5726,1394,16.0,7.0,23.0,0.0,8.0,6.0
1427,5231,470,27.0,2.0,7.0,0.0,2.0,13.0
1262,1307,857,27.0,5.0,8.0,8.0,3.0,12.0
1577,10609,816,71.0,0.0,13.0,3.0,1.0,0.0
1644,5782,859,402.0,35.0,106.0,101.0,77.0,42.0
919,7533,1968,144.0,1.0,32.0,2.0,1.0,7.0
954,9493,1408,840.0,53.0,804.0,23.0,71.0,17.0
146,2253,1929,32.0,0.0,8.0,23.0,4.0,18.0
1930,2326,71,32.0,0.0,8.0,23.0,4.0,18.0
400,1876,1544,32.0,0.0,8.0,23.0,4.0,18.0
740,7141,1262,88.0,10.0,46.0,2.0,3.0,64.0
1528,7393,910,56.0,5.0,24.0,4.0,0.0,3.0
822,4713,1642,74.0,0.0,42.0,2.0,1.0,6.0
465,5093,1364,40.0,3.0,30.0,10.0,7.0,11.0
1277,8524,1235,40.0,3.0,30.0,10.0,7.0,11.0
1729,3766,192,100.0,71.0,243.0,108.0,94.0,219.0
2089,9725,1098,8.0,0.0,3.0,0.0,0.0,1.0
466,8933,1984,26.0,3.0,23.0,4.0,7.0,3.0
959,10779,938,15.0,5.0,14.0,0.0,4.0,11.0
1664,9289,372,29.0,1.0,17.0,0.0,3.0,13.0
1364,2613,666,162.0,6.0,37.0,6.0,13.0,13.0
111,10133,1153,1302.0,68.0,731.0,89.0,114.0,45.0
81,8443,49,6.0,10.0,12.0,3.0,15.0,40.0
2138,10796,1328,47.0,1.0,6.0,0.0,0.0,12.0
848,10241,876,0.0,0.0,0.0,6.0,2.0,6.0
847,3388,507,129.0,26.0,67.0,3.0,67.0,2.0
1975,6507,743,16.0,11.0,15.0,2.0,0.0,12.0
912,7446,262,520.0,42.0,98.0,0.0,42.0,14.0
1638,87,1383,0.0,7.0,5.0,26.0,2.0,17.0
1911,10477,689,71.0,0.0,18.0,0.0,0.0,13.0
347,6072,449,918.0,57.0,842.0,99.0,38.0,133.0
1893,2518,1211,5.0,4.0,5.0,4.0,2.0,10.0
836,247,704,172.0,10.0,125.0,21.0,13.0,16.0
1794,9463,620,931.0,56.0,253.0,91.0,98.0,14.0
201,1459,184,666.0,35.0,124.0,69.0,8.0,26.0
275,9530,1358,5.0,3.0,4.0,4.0,1.0,0.0
773,9653,316,27.0,1.0,14.0,4.0,1.0,21.0
2122,10785,10,24.0,1.0,10.0,2.0,0.0,4.0
1354,9392,1449,4.0,1.0,11.0,0.0,0.0,1.0
2030,3769,1250,25.0,1.0,13.0,0.0,0.0,3.0
974,10146,1053,25.0,1.0,13.0,0.0,0.0,3.0
1651,4741,227,391.0,32.0,70.0,21.0,32.0,16.0
637,1880,1181,81.0,0.0,6.0,0.0,0.0,6.0
747,6471,2230,14.0,2.0,30.0,8.0,2.0,3.0
274,5718,68,674.0,168.0,108.0,192.0,42.0,231.0
259,3478,1438,267.0,42.0,309.0,55.0,42.0,21.0
975,7848,124,224.0,2.0,25.0,7.0,0.0,110.0
1451,7999,1336,1239.0,17.0,413.0,23.0,34.0,17.0
1944,11101,1620,412.0,22.0,132.0,59.0,28.0,183.0
1966,9212,652,1205.0,0.0,235.0,19.0,14.0,205.0
1102,10983,881,304.0,98.0,230.0,150.0,74.0,74.0
1763,3629,1001,76.0,3.0,31.0,4.0,4.0,27.0
1457,4673,1835,1004.0,12.0,145.0,32.0,12.0,36.0
16,796,1800,584.0,44.0,212.0,46.0,8.0,177.0
2108,618,1104,422.0,7.0,238.0,69.0,46.0,15.0
760,380,2092,1170.0,48.0,320.0,42.0,32.0,192.0
1186,1092,190,269.0,129.0,495.0,182.0,43.0,29.0
1458,8962,633,26.0,0.0,8.0,0.0,0.0,3.0
2070,8207,256,28.0,0.0,9.0,3.0,0.0,0.0
1358,6521,1109,613.0,22.0,319.0,33.0,102.0,12.0
1899,535,342,163.0,23.0,424.0,27.0,65.0,76.0
1764,4608,333,163.0,23.0,424.0,27.0,65.0,76.0
68,11086,469,1.0,6.0,2.0,3.0,6.0,3.0
737,1064,211,22.0,1.0,11.0,0.0,5.0,3.0
2051,7000,1386,279.0,172.0,74.0,38.0,8.0,246.0
1815,1581,708,2.0,0.0,8.0,2.0,2.0,3.0
1072,7384,1960,113.0,61.0,204.0,34.0,26.0,47.0
43,10552,1209,70.0,54.0,109.0,80.0,9.0,45.0
2064,6409,89,267.0,140.0,599.0,34.0,12.0,127.0
742,9507,1808,261.0,23.0,73.0,4.0,23.0,50.0
1475,9560,113,856.0,61.0,570.0,40.0,25.0,122.0
178,10991,1456,454.0,194.0,106.0,31.0,22.0,43.0
1842,4712,1940,8.0,8.0,22.0,24.0,11.0,9.0
1701,11056,2064,546.0,91.0,410.0,119.0,0.0,22.0
1131,7414,1973,96.0,1.0,42.0,12.0,3.0,32.0
1931,3076,228,452.0,18.0,102.0,16.0,18.0,6.0
1110,6355,888,20.0,0.0,14.0,7.0,3.0,1.0
